"name","rating","price","tuesday_closed","tuesday_open","tuesday_close","wednesday_closed","wednesday_open","wednesday_close","thursday_closed","thursday_open","thursday_close","friday_closed","friday_open","friday_close","saturday_closed","saturday_open","saturday_close","sunday_closed","sunday_open","sunday_close","monday_closed","monday_open","monday_close","sunday_600","sunday_700","sunday_800","sunday_900","sunday_1000","sunday_1100","sunday_1200","sunday_1300","sunday_1400","sunday_1500","sunday_1600","sunday_1700","sunday_1800","sunday_1900","sunday_2000","sunday_2100","sunday_2200","sunday_2300","monday_600","monday_700","monday_800","monday_900","monday_1000","monday_1100","monday_1200","monday_1300","monday_1400","monday_1500","monday_1600","monday_1700","monday_1800","monday_1900","monday_2000","monday_2100","monday_2200","monday_2300","tuesday_600","tuesday_700","tuesday_800","tuesday_900","tuesday_1000","tuesday_1100","tuesday_1200","tuesday_1300","tuesday_1400","tuesday_1500","tuesday_1600","tuesday_1700","tuesday_1800","tuesday_1900","tuesday_2000","tuesday_2100","tuesday_2200","tuesday_2300","wednesday_600","wednesday_700","wednesday_800","wednesday_900","wednesday_1000","wednesday_1100","wednesday_1200","wednesday_1300","wednesday_1400","wednesday_1500","wednesday_1600","wednesday_1700","wednesday_1800","wednesday_1900","wednesday_2000","wednesday_2100","wednesday_2200","wednesday_2300","thursday_600","thursday_700","thursday_800","thursday_900","thursday_1000","thursday_1100","thursday_1200","thursday_1300","thursday_1400","thursday_1500","thursday_1600","thursday_1700","thursday_1800","thursday_1900","thursday_2000","thursday_2100","thursday_2200","thursday_2300","friday_600","friday_700","friday_800","friday_900","friday_1000","friday_1100","friday_1200","friday_1300","friday_1400","friday_1500","friday_1600","friday_1700","friday_1800","friday_1900","friday_2000","friday_2100","friday_2200","friday_2300","saturday_600","saturday_700","saturday_800","saturday_900","saturday_1000","saturday_1100","saturday_1200","saturday_1300","saturday_1400","saturday_1500","saturday_1600","saturday_1700","saturday_1800","saturday_1900","saturday_2000","saturday_2100","saturday_2200","saturday_2300"
"Olive Mediterranean Grill","4.4",1,false,1000,2100,false,1000,2100,false,1000,2100,false,1000,2100,false,1000,2100,false,1000,2100,false,1000,2100,"0","0","0","0","4","15","29","36","32","24","23","29","29","21","10","0","0","0","0","0","0","0","35","60","86","66","26","10","16","29","33","24","10","0","0","0","0","0","0","0","32","52","80","67","29","12","18","24","23","13","4","0","0","0","0","0","0","0","30","38","52","47","29","18","16","16","13","7","3","0","0","0","0","0","0","0","24","44","69","61","32","15","18","23","18","9","1","0","0","0","0","0","0","0","24","60","100","80","36","24","24","24","21","15","9","0","0","0","0","0","0","0","10","23","36","43","35","23","16","26","38","32","12","0","0","0"
"Adam's Kabob","4.6",,false,1100,2100,false,1100,2100,false,1100,2100,false,1100,2100,false,1100,2100,false,0,2000,false,1100,2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
